M (Hyperplanes),D (Bags),T (Filtered),FP (Hashed),FN (Hashed),FP (Theoretical),FN (Theoretical)
96,5,36,0.14746666666666666,6.666666666666667e-05,0.0009041971088149995,0.5559473275077871
96,5,37,0.17393333333333336,0.00013333333333333334,0.0010434754732854762,0.5274957544068944
96,5,38,0.1908,0.00013333333333333334,0.0012705854065669837,0.5016276777204981
96,5,39,0.21806666666666666,0.0,0.00160405878596831,0.47134131438162413
96,5,40,0.24613333333333334,0.0,0.0018450438489227795,0.44678368336786145
96,5,41,0.2730666666666667,0.0,0.0022016771244414124,0.41922909900334143
96,5,42,0.30666666666666664,0.0,0.0025311988156619916,0.3920674869338286
96,5,43,0.3421999999999999,0.0,0.0029322768244765787,0.3634557584087046
96,5,44,0.36866666666666664,0.0,0.0036173231445519468,0.33621790053256506
96,5,45,0.4108666666666666,0.0,0.004374280323805307,0.3123763051192198
96,5,46,0.4395333333333334,0.0,0.005121345376662573,0.2832203833263061
96,5,47,0.4752666666666666,6.666666666666667e-05,0.006233177455748443,0.2621655236142947
96,7,0,0.0,0.9054666666666666,1.3937526743672548e-06,0.9768279422346009
96,7,1,0.0,0.8351333333333334,1.9259628203794776e-06,0.9743913248033971
96,7,2,0.0,0.7533999999999998,2.4337535158737525e-06,0.9708003780344153
96,7,3,0.00013333333333333334,0.6517999999999999,1.9947462008639774e-06,0.9665267568219824
96,7,4,6.666666666666667e-05,0.5403333333333333,3.7187113212185196e-06,0.9625947563349087
96,7,5,0.0,0.43713333333333343,3.890493714729715e-06,0.9573793215126691
96,7,6,0.00013333333333333334,0.3468,5.272836790532945e-06,0.9524509648333381
96,7,7,0.00013333333333333334,0.2615333333333333,5.792946988103349e-06,0.947316599744073
96,7,8,0.0003333333333333333,0.19499999999999998,6.65016359259644e-06,0.9396792110537883
96,7,9,0.0002,0.13873333333333332,1.0055980644411711e-05,0.9328040484831615
96,7,10,0.00046666666666666666,0.09806666666666666,9.71855578318004e-06,0.9271185318512631
96,7,11,0.00046666666666666666,0.07233333333333333,1.376136094248164e-05,0.9172768580305914
96,7,12,0.001,0.049866666666666684,1.5336081930680197e-05,0.9081753723435951
96,7,13,0.0016666666666666672,0.037200000000000004,1.845098302411035e-05,0.8984488048462601
96,7,14,0.0017333333333333337,0.02373333333333334,2.524068552602445e-05,0.8874042739104924
96,7,15,0.0027333333333333337,0.017600000000000005,2.9222884542080318e-05,0.8756623103170149
96,7,16,0.0032000000000000006,0.013866666666666668,3.4286487675595466e-05,0.8613295621346702
96,7,17,0.005533333333333334,0.010200000000000002,4.0743088622921995e-05,0.8495347355535527
96,7,18,0.006266666666666668,0.006933333333333334,5.467234251940444e-05,0.8342704751616857
96,7,19,0.00786666666666667,0.004666666666666666,5.696830150880364e-05,0.8193414974540276
96,7,20,0.008733333333333336,0.003,7.471687051210903e-05,0.8001806353742658
