M (Hyperplanes),D (Bags),T (Filtered),FP (Hashed),FN (Hashed)
88,9,11,0.0,0.9984399999999997
88,9,12,0.0,0.9978800000000001
88,9,13,0.0,0.9969999999999999
88,9,14,0.0,0.9960399999999997
88,9,15,0.0,0.9934000000000001
88,9,16,0.0,0.9923199999999995
88,9,17,0.0,0.9894799999999999
88,9,18,0.0,0.9854399999999996
88,9,19,0.0,0.9795199999999998
88,9,20,0.0,0.9743999999999999
88,9,21,0.0,0.9683999999999999
88,9,22,0.0,0.9589199999999996
88,9,23,0.0,0.9496799999999994
88,9,24,0.0,0.9380400000000002
88,9,25,0.0,0.9255200000000001
88,9,26,0.0,0.9156799999999998
88,9,27,0.0,0.8965199999999998
88,9,28,0.0,0.8775200000000001
88,9,29,0.0,0.8555200000000002
88,9,30,0.0,0.8344800000000001
88,9,31,0.0,0.8154000000000002
88,9,32,0.0,0.7853599999999997
88,9,33,0.0,0.75772
88,9,34,0.0,0.7279599999999998
88,9,35,0.0,0.6963200000000004
88,9,36,0.0,0.6702400000000001
88,9,37,0.0,0.63556
88,9,38,0.0,0.6055999999999999
88,9,39,0.0,0.5706
88,9,40,0.0,0.5350800000000001
88,9,41,0.0,0.50812
88,9,42,0.0,0.47663999999999995
88,9,43,0.0,0.44308
88,11,0,0.0,0.9999600000000001
88,11,1,0.0,0.99996
88,11,2,0.0,1.0
88,11,3,0.0,1.0
88,11,4,0.0,1.0
88,11,5,0.0,0.99996
88,11,6,0.0,0.9997199999999999
88,11,7,0.0,0.9992799999999998
88,11,8,0.0,0.9990399999999998
88,11,9,0.0,0.99928
88,11,10,0.0,0.9990399999999999
88,11,11,0.0,0.99796
88,11,12,0.0,0.9973199999999999
88,11,13,0.0,0.9955200000000002
88,11,14,0.0,0.9945999999999997
88,11,15,0.0,0.9926399999999996
88,11,16,0.0,0.9901599999999994
88,11,17,0.0,0.9875999999999999
88,11,18,0.0,0.98084
88,11,19,0.0,0.9766799999999997
88,11,20,0.0,0.9705199999999998
88,11,21,0.0,0.9618799999999998
88,11,22,0.0,0.95332
88,11,23,0.0,0.9395200000000001
88,11,24,0.0,0.9243600000000001
88,11,25,0.0,0.9120400000000001
88,11,26,0.0,0.8957599999999998
88,11,27,0.0,0.8753199999999997
88,11,28,0.0,0.8534399999999998
88,11,29,0.0,0.8267200000000001
88,11,30,0.0,0.8006399999999999
88,11,31,0.0,0.77636
88,11,32,0.0,0.7468800000000002
88,11,33,0.0,0.71736
88,11,34,0.0,0.6872400000000001
88,11,35,0.0,0.6598800000000001
88,11,36,0.0,0.6259599999999998
88,11,37,0.0,0.5918400000000001
88,11,38,0.0,0.55976
88,11,39,0.0,0.5313599999999999
88,11,40,0.0,0.4976000000000001
88,11,41,0.0,0.46999999999999986
88,11,42,0.0,0.4340400000000002
88,11,43,0.0,0.40515999999999996
88,13,0,0.0,0.99992
88,13,1,0.0,1.0
88,13,2,0.0,0.9998400000000001
88,13,3,0.0,0.9999600000000001
88,13,4,0.0,0.9998
88,13,5,0.0,0.9998
88,13,6,0.0,0.9997600000000001
88,13,7,0.0,0.9995200000000001
88,13,8,0.0,0.9994
88,13,9,0.0,0.9990399999999999
88,13,10,0.0,0.9982799999999998
88,13,11,0.0,0.9978399999999997
88,13,12,0.0,0.9972399999999998
88,13,13,0.0,0.9963199999999999
88,13,14,0.0,0.9926399999999996
88,13,15,0.0,0.9905600000000002
88,13,16,0.0,0.9878399999999998
88,13,17,0.0,0.9831599999999997
88,13,18,0.0,0.97772
88,13,19,0.0,0.9723999999999995
88,13,20,0.0,0.9645199999999999
88,13,21,0.0,0.95664
88,13,22,0.0,0.9462400000000001
88,13,23,0.0,0.9298799999999998
88,13,24,0.0,0.9188000000000003
88,13,25,0.0,0.8989599999999995
88,13,26,0.0,0.8769999999999999
88,13,27,0.0,0.86536
88,13,28,0.0,0.8356799999999999
88,13,29,0.0,0.8086
88,13,30,0.0,0.7845600000000001
88,13,31,0.0,0.7562399999999998
88,13,32,0.0,0.7325999999999998
88,13,33,0.0,0.6968800000000002
88,13,34,0.0,0.6687200000000001
88,13,35,0.0,0.6355200000000001
88,13,36,0.0,0.60436
88,13,37,0.0,0.56928
88,13,38,0.0,0.53716
88,13,39,0.0,0.5124799999999999
88,13,40,0.0,0.4728
88,13,41,0.0,0.4382400000000001
88,13,42,0.0,0.41187999999999997
88,13,43,0.0,0.3874000000000001
96,1,0,0.0,1.0
96,1,1,0.0,1.0
96,1,2,0.0,1.0
96,1,3,0.0,1.0
96,1,4,0.0,1.0
96,1,5,0.0,0.9999199999999999
96,1,6,0.0,1.0
96,1,7,0.0,0.9999600000000001
96,1,8,0.0,0.99996
96,1,9,0.0,0.9999199999999999
96,1,10,0.0,0.99992
96,1,11,0.0,0.9999600000000001
96,1,12,0.0,0.99992
96,1,13,0.0,0.99988
96,1,14,0.0,0.9999199999999999
96,1,15,0.0,0.9997199999999999
96,1,16,0.0,0.9994799999999998
96,1,17,0.0,0.99944
96,1,18,0.0,0.9994
96,1,19,0.0,0.9990000000000001
96,1,20,0.0,0.9987600000000001
96,1,21,0.0,0.9984399999999998
96,1,22,0.0,0.9979199999999999
96,1,23,0.0,0.9974000000000001
96,1,24,0.0,0.9965999999999998
96,1,25,0.0,0.9955599999999998
96,1,26,0.0,0.9951999999999996
96,1,27,0.0,0.9932000000000001
96,1,28,0.0,0.9918399999999999
96,1,29,0.0,0.9903599999999999
96,1,30,0.0,0.9886400000000001
96,1,31,0.0,0.9858800000000001
96,1,32,0.0,0.98188
96,1,33,0.0,0.9786400000000002
96,1,34,0.0,0.9730399999999999
96,1,35,0.0,0.9688000000000001
96,1,36,0.0,0.9652800000000002
96,1,37,0.0,0.95908
96,1,38,0.0,0.9517599999999998
96,1,39,0.0,0.9449199999999999
96,1,40,0.0,0.9371200000000002
96,1,41,0.0,0.92884
96,1,42,0.0,0.9205599999999999
96,1,43,0.0,0.9091199999999999
96,1,44,0.0,0.8972400000000001
96,1,45,0.0,0.88664
96,1,46,0.0,0.8706800000000001
96,1,47,0.0,0.85392
96,3,0,0.0,1.0
96,3,1,0.0,1.0
96,3,2,0.0,0.9999600000000001
96,3,3,0.0,1.0
96,3,4,0.0,1.0
96,3,5,0.0,0.99992
96,3,6,0.0,1.0
96,3,7,0.0,1.0
96,3,8,0.0,0.9999600000000001
96,3,9,0.0,0.9998799999999999
96,3,10,0.0,0.99988
96,3,11,0.0,0.9996399999999999
96,3,12,0.0,0.9997599999999999
96,3,13,0.0,0.9995599999999998
96,3,14,0.0,0.9994399999999999
96,3,15,0.0,0.9990799999999997
96,3,16,0.0,0.9985199999999999
96,3,17,0.0,0.9982000000000001
96,3,18,0.0,0.9983999999999996
96,3,19,0.0,0.9975999999999999
96,3,20,0.0,0.9967999999999998
96,3,21,0.0,0.9944799999999997
96,3,22,0.0,0.9923599999999998
96,3,23,0.0,0.99024
96,3,24,0.0,0.9888800000000001
96,3,25,0.0,0.9861199999999998
96,3,26,0.0,0.9842000000000002
96,3,27,0.0,0.9784399999999998
96,3,28,0.0,0.9750799999999998
96,3,29,0.0,0.9683599999999999
96,3,30,0.0,0.96312
96,3,31,0.0,0.9569999999999999
96,3,32,0.0,0.9507999999999996
96,3,33,0.0,0.9395600000000003
96,3,34,0.0,0.9277200000000001
96,3,35,0.0,0.91656
96,3,36,0.0,0.9045599999999997
96,3,37,0.0,0.8884799999999999
96,3,38,0.0,0.8757199999999996
96,3,39,0.0,0.8538800000000002
96,3,40,0.0,0.8362399999999997
96,3,41,0.0,0.82316
96,3,42,0.0,0.79436
96,3,43,0.0,0.76936
96,3,44,0.0,0.7538800000000001
96,3,45,0.0,0.7269199999999999
96,3,46,0.0,0.7047599999999999
96,3,47,0.0,0.6764
96,5,0,0.0,1.0
96,5,1,0.0,1.0
96,5,2,0.0,1.0
96,5,3,0.0,1.0
96,5,4,0.0,1.0
96,5,5,0.0,0.99992
96,5,6,0.0,1.0
96,5,7,0.0,1.0
96,5,8,0.0,0.99992
96,5,9,0.0,0.99992
96,5,10,0.0,0.99964
96,5,11,0.0,0.9998399999999998
96,5,12,0.0,0.9996799999999999
96,5,13,0.0,0.99932
96,5,14,0.0,0.9990799999999999
96,5,15,0.0,0.9978799999999999
96,5,16,0.0,0.9979999999999998
96,5,17,0.0,0.99724
96,5,18,0.0,0.9958
96,5,19,0.0,0.99492
96,5,20,0.0,0.9939999999999999
96,5,21,0.0,0.9908399999999999
96,5,22,0.0,0.9887200000000002
96,5,23,0.0,0.98596
96,5,24,0.0,0.98108
96,5,25,0.0,0.9786000000000001
96,5,26,0.0,0.9727999999999999
96,5,27,0.0,0.9667999999999998
96,5,28,0.0,0.9585199999999997
96,5,29,0.0,0.9535999999999997
96,5,30,0.0,0.9453200000000002
96,5,31,0.0,0.9328400000000002
96,5,32,0.0,0.9238799999999999
96,5,33,0.0,0.9087200000000003
96,5,34,0.0,0.8972800000000002
96,5,35,0.0,0.8807999999999998
96,5,36,0.0,0.86548
96,5,37,0.0,0.84596
96,5,38,0.0,0.82628
96,5,39,0.0,0.8086800000000001
96,5,40,0.0,0.7833200000000002
96,5,41,0.0,0.7582000000000001
96,5,42,0.0,0.735
96,5,43,0.0,0.7080399999999999
96,5,44,0.0,0.6853200000000002
96,5,45,0.0,0.65696
96,5,46,0.0,0.6370800000000001
96,5,47,0.0,0.6051199999999999
96,7,0,0.0,1.0
96,7,1,0.0,1.0
96,7,2,0.0,1.0
96,7,3,0.0,1.0
