Angle (Degrees),Cosine Similarity,False Negative Rate,False Positive Rate
26.699999999999925,0.893371,0.002277,0.097003
26.749999999999925,0.892979,0.002277,0.099043
26.799999999999926,0.892586,0.002277,0.101251
26.849999999999927,0.892192,0.002079,0.103359
26.899999999999928,0.891798,0.00198,0.105743
26.949999999999925,0.891402,0.001881,0.107839
26.999999999999925,0.891007,0.001881,0.110053
27.049999999999926,0.89061,0.001782,0.112418
27.099999999999923,0.890213,0.001683,0.114734
27.149999999999924,0.889815,0.001683,0.116972
27.199999999999925,0.889416,0.001584,0.119297
27.249999999999925,0.889017,0.001584,0.121802
27.299999999999926,0.888617,0.001584,0.124217
27.349999999999923,0.888217,0.001584,0.126514
27.399999999999924,0.887815,0.001584,0.12913
27.449999999999925,0.887413,0.001584,0.131647
27.499999999999922,0.887011,0.001584,0.134319
27.549999999999923,0.886608,0.001584,0.136966
27.599999999999923,0.886204,0.001386,0.139483
27.649999999999924,0.885799,0.001386,0.142232
27.699999999999925,0.885394,0.001386,0.144935
27.749999999999922,0.884988,0.001386,0.147663
27.799999999999923,0.884581,0.001386,0.150433
27.849999999999923,0.884174,0.001386,0.153263
27.89999999999992,0.883766,0.001386,0.156164
27.94999999999992,0.883357,0.001386,0.159096
27.999999999999922,0.882948,0.001386,0.162022
28.049999999999923,0.882538,0.001386,0.164972
28.099999999999923,0.882127,0.001386,0.167721
28.14999999999992,0.881715,0.001386,0.170864
28.19999999999992,0.881303,0.001287,0.17369
28.249999999999922,0.880891,0.001188,0.176898
28.29999999999992,0.880477,0.001089,0.180025
28.34999999999992,0.880063,0.00099,0.183245
28.39999999999992,0.879649,0.00099,0.186464
28.44999999999992,0.879233,0.000792,0.189449
28.499999999999922,0.878817,0.000792,0.192728
28.54999999999992,0.8784,0.000792,0.19609
28.59999999999992,0.877983,0.000792,0.199393
28.64999999999992,0.877565,0.000792,0.202678
